Symptoms,Disease Predictions
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Chills, Vomiting, High fever, Sweating",Malaria
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Chills, Fatigue, Cough, High fever",Pneumonia
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Vomiting, Breathlessness, Sweating, Chest pain",Heart attack
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Skin rash, Pus filled pimples, Blackheads, Scurring",Acne
"Burning micturition, Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, High fever, Blister, Red sore around nose",Impetigo
"Itching, Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Continuous sneezing, Shivering, Chills, Watering from eyes",Allergy
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Chills, Vomiting, High fever, Sweating",Malaria
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Chills, Fatigue, Cough, High fever",Pneumonia
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Vomiting, Breathlessness, Sweating, Chest pain",Heart attack
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Skin rash, Pus filled pimples, Blackheads, Scurring",Acne
"Burning micturition, Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, High fever, Blister, Red sore around nose",Impetigo
"Itching, Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Continuous sneezing, Shivering, Chills, Watering from eyes",Allergy
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Chills, Vomiting, High fever, Sweating",Malaria
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Chills, Fatigue, Cough, High fever",Pneumonia
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Vomiting, Breathlessness, Sweating, Chest pain",Heart attack
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Skin rash, Pus filled pimples, Blackheads, Scurring",Acne
"Burning micturition, Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, High fever, Blister, Red sore around nose",Impetigo
"Itching, Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Continuous sneezing, Shivering, Chills, Watering from eyes",Allergy
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Chills, Vomiting, High fever, Sweating",Malaria
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Chills, Fatigue, Cough, High fever",Pneumonia
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Vomiting, Breathlessness, Sweating, Chest pain",Heart attack
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Skin rash, Pus filled pimples, Blackheads, Scurring",Acne
"Burning micturition, Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, High fever, Blister, Red sore around nose",Impetigo
"Itching, Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Continuous sneezing, Shivering, Chills, Watering from eyes",Allergy
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Chills, Vomiting, High fever, Sweating",Malaria
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Chills, Fatigue, Cough, High fever",Pneumonia
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Vomiting, Breathlessness, Sweating, Chest pain",Heart attack
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Skin rash, Pus filled pimples, Blackheads, Scurring",Acne
"Burning micturition, Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, High fever, Blister, Red sore around nose",Impetigo
"Itching, Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Continuous sneezing, Shivering, Chills, Watering from eyes",Allergy
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Chills, Vomiting, High fever, Sweating",Malaria
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Joint pain, Vomiting, Fatigue, Yellowish skin",Hepatitis D
"Joint pain, Vomiting, Fatigue, High fever",Hepatitis E
"Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach",Alcoholic hepatitis
"Chills, Vomiting, Fatigue, Weight loss",Tuberculosis
"Continuous sneezing, Chills, Fatigue, Cough",Common Cold
"Chills, Fatigue, Cough, High fever",Pneumonia
"Constipation, Pain during bowel movements, Pain in anal region, Bloody stool",Dimorphic hemmorhoids(piles)
"Vomiting, Breathlessness, Sweating, Chest pain",Heart attack
"Fatigue, Cramps, Bruising, Obesity",Varicose veins
"Fatigue, Weight gain, Cold hands and feets, Mood swings",Hypothyroidism
"Fatigue, Mood swings, Weight loss, Restlessness",Hyperthyroidism
"Vomiting, Fatigue, Anxiety, Sweating",Hypoglycemia
"Joint pain, Neck pain, Knee pain, Hip joint pain",Osteoarthristis
"Muscle weakness, Stiff neck, Swelling joints, Movement stiffness",Arthritis
"Vomiting, Headache, Nausea, Spinning movements",(vertigo) Paroymsal  Positional Vertigo
"Skin rash, Pus filled pimples, Blackheads, Scurring",Acne
"Burning micturition, Bladder discomfort, Foul smell of Urine, Continuous feel of urine",Urinary tract infection
"Skin rash, Joint pain, Skin peeling, Silver like dusting",Psoriasis
"Skin rash, High fever, Blister, Red sore around nose",Impetigo
"Itching, Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Continuous sneezing, Shivering, Chills, Watering from eyes",Allergy
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Chills, Vomiting, High fever, Sweating",Malaria
